Song,#Tweet,#Neg-score_Tweet,#Pos-score_Tweet,Neg-score_Ave,Pos-score_Ave
#youneedtocalmdown,134,11,75,0.018619402985074626,0.10014925373134333
#badguy,1012,435,173,0.10057806324110626,0.04295948616600789
#idontcare,399,23,289,0.0163483709273183,0.2287167919799503
#moneyinthegrave,48,15,13,0.07564583333333334,0.09585416666666667
#suge,27,2,6,0.027925925925925927,0.042370370370370364
#noguidance,107,13,40,0.04707476635514019,0.11026168224299059
#dancingwithastranger,14,0,4,0.0,0.0445
#ificanthaveyou,123,15,6,0.019097560975609756,0.012479674796747968
#truthhurts,776,489,110,0.1057396907216495,0.09626546391752629
#withoutme,23,0,14,0.00408695652173913,0.1985217391304348
#7rings,428,19,150,0.00869859813084112,0.07681308411214963
#godscountry,85,5,36,0.014541176470588234,0.12225882352941175
#whiskeyglasses,13,0,4,0.0,0.08715384615384615
#heylookmaimadeit,2,0,1,0.0,0.149
#thelondon,5,1,2,0.036199999999999996,0.1288
#concalma,234,0,6,0.0,0.006743589743589744
#beerneverbrokemyheart,36,3,17,0.01930555555555556,0.12683333333333333
#neverreallyover,137,5,21,0.009138686131386861,0.046058394160583944
#earfquake,172,33,22,0.047930232558139545,0.03943023255813953
#lookwhatgodgaveher,2,1,1,0.1695,0.08
#whenthepartysover,16,0,6,0.0,0.09400000000000001
#crossme,23,1,8,0.024739130434782607,0.08069565217391304
#goloko,25,1,10,0.011519999999999999,0.09336
#thegitup,106,9,67,0.015490566037735848,0.13280188679245283
#someoneyouloved,265,0,15,0.0013320754716981131,0.013158490566037736
#walkmehome,7,0,1,0.008428571428571428,0.04285714285714286
#knockinboots,33,0,27,0.0,0.15839393939393945
#girlsneedlove,1,0,1,0.0,0.412
#alltomyself,6,1,2,0.0335,0.11416666666666668
#shottaflow,54,3,2,0.005888888888888889,0.009722222222222222
#callaita,25,6,2,0.07336000000000001,0.05228
#rearviewtown,1,0,1,0.116,0.193
#talkyououtofit,0,0,0,0,0
#sanguineparadise,3,0,0,0.0,0.0
#herewithme,10,0,1,0.0,0.0217
#otrotrago,26,7,0,0.05096153846153846,0.0
#callyoumine,18,2,3,0.03294444444444444,0.03905555555555556
#raisedoncountry,38,2,27,0.014026315789473685,0.21157894736842103
#loveaint,2,0,1,0.0,0.155
#baccatitagain,4,0,1,0.0,0.04025
#bigolefreak,74,8,15,0.03966216216216216,0.05822972972972973
#terobare,3,0,1,0.0,0.062
#racksinthemiddle,3,0,1,0.03766666666666667,0.06833333333333333
#theonesthatdidntmakeitbackhome,0,0,0,0,0
