@billieeilish,290218
@theestallion,289786
@edsheeran,174928
@katyperry,117324
@halsey,93437
@justinbieber,77850
@lizzo,37611
@chrisbrown,35644
@trvisXX,31839
@marshmellomusic,24394
@youngthug,17902
@taylorswift,13674
@normani,10862
@samsmith,10691
@arianagrande,10156
@shawnmendes,9053
@Tyga,8152
@lukecombs,8062
@blakeshelton,6180
@drake,4095
@YG,4051
@gucci1017,3821
@beberexha,1117
@pink,1058
@blancobrown,851
@daddyyankee,377
@sechmusic,303
@nipseyhussle,276
@nickyjampr,208
@lewiscapaldi,167
@panicatthedisco,131
@thechainsmokers,100
@chvrches,88
@chrisyoungmusic,87
@rickross,59
@quavostuntin,59
@dababydababy,49
@liluzivert,40
@roddyricch,37
@thomasrhett,23
@justincolemoore,20
@JonZ,18
@danandshay,16
@morganwallen,10
@lukebryan,10
@eliyoungband,8
@imbadbunny,4
@iamsummerwalker,3
@hit_boy,3
@nlechoppa1,1
@kattyperry,1
@jasonaldean,1
@darell_rg4l,1
